Title,Title_link,Thumbnail,sc-b8b74125-0,sc-300a8231-6,ipc-rating-star--rating,ipc-rating-star--voteCount,sc-300a8231-61,sc-300a8231-4,sc-300a8231-62
Squid Game,https://www.imdb.com/title/tt10919420/?ref_=chttvm_t_1,"https://m.media-amazon.com/images/M/MV5BYTYzMTlmNDctNmVkNS00YzRlLWE5MjAtODdjZWRkYzRlNWVlXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",1 (),2021–2025,8,(618K),17 eps,TV Series,TV-MA
Landman,https://www.imdb.com/title/tt14186672/?ref_=chttvm_t_2,"https://m.media-amazon.com/images/M/MV5BNTRkY2ZkNzUtMzBlNC00NTc0LWE0ZDQtMWZiNGU5OWEyZGU4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",2 (),2024–,8.3,(23K),10 eps,TV Series,TV-MA
Missing You,https://www.imdb.com/title/tt31019484/?ref_=chttvm_t_3,"https://m.media-amazon.com/images/M/MV5BMzBiMzBjYTQtYjkyNy00NjhhLTlkNmItN2JiZTk3MmE1MjY5XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg",3 (894),2025,6.1,(10K),5 eps,TV Mini Series,TV-MA
Silo,https://www.imdb.com/title/tt14688458/?ref_=chttvm_t_4,"https://m.media-amazon.com/images/M/MV5BNjA5ODM4YTEtNDcxZi00N2ViLTg0MTgtNGQxNjBjZWY5YTk3XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",4 (6),2023–,8.1,(158K),22 eps,TV Series,TV-MA
Yellowstone,https://www.imdb.com/title/tt4236770/?ref_=chttvm_t_5,"https://m.media-amazon.com/images/M/MV5BYzE2ODQ0NmQtYmMxMS00MGRlLTgwOGEtYjRkN2FkYmZlN2JlXkEyXkFqcGc@._V1_QL75_UX140_CR0,4,140,207_.jpg",5 (),2018–2024,8.6,(254K),53 eps,TV Series,TV-MA
The Day of the Jackal,https://www.imdb.com/title/tt24053860/?ref_=chttvm_t_6,"https://m.media-amazon.com/images/M/MV5BYmI3NDY1MGYtNTJmNy00NjA3LTk1OWUtM2IyN2M3MjFiMTZkXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg",6 (),2024–,8.2,(54K),11 eps,TV Series,TV-MA
Black Doves,https://www.imdb.com/title/tt27995113/?ref_=chttvm_t_7,"https://m.media-amazon.com/images/M/MV5BMDQyNzE2NmYtMzExMy00NTBjLWE4ODItNjI1OTNkZWVjNDUyXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",7 (3),2024–,7.2,(43K),6 eps,TV Series,TV-MA
Dune: Prophecy,https://www.imdb.com/title/tt10466872/?ref_=chttvm_t_8,"https://m.media-amazon.com/images/M/MV5BOTc2YTFiOTItZmRiNi00OWE5LThhOTEtMmZhMTkzYmRiNjIxXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",8 (5),2024–,7.3,(36K),7 eps,TV Series,TV-MA
What If...?,https://www.imdb.com/title/tt10168312/?ref_=chttvm_t_9,"https://m.media-amazon.com/images/M/MV5BYWFiOTcwNzItMTg5Mi00ZTU4LThkZWYtYWNmZWQ1ODE5ZTVmXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",9 (1),2021–2024,7.4,(151K),26 eps,TV Series,TV-14
Dexter: Original Sin,https://www.imdb.com/title/tt32252772/?ref_=chttvm_t_10,"https://m.media-amazon.com/images/M/MV5BYTVlZjNhYjktMWYyNy00MmYyLTk3ZjctMDQwMWIwYjdkODc3XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",10 (3),2024–,8.3,(10K),10 eps,TV Series,
No Good Deed,https://www.imdb.com/title/tt19891306/?ref_=chttvm_t_11,"https://m.media-amazon.com/images/M/MV5BYmI0Y2Y0YWQtZTUzMS00MjRkLTk2ZDUtMWEwZDgxZmZlZTVmXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",11 (1),2024–,7,(11K),8 eps,TV Series,TV-MA
Game of Thrones,https://www.imdb.com/title/tt0944947/?ref_=chttvm_t_12,"https://m.media-amazon.com/images/M/MV5BMTNhMDJmNmYtNDQ5OS00ODdlLWE0ZDAtZTgyYTIwNDY3OTU3XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",12 (4),2011–2019,9.2,(2.4M),74 eps,TV Series,TV-MA
Skeleton Crew,https://www.imdb.com/title/tt20600980/?ref_=chttvm_t_13,"https://m.media-amazon.com/images/M/MV5BN2VlZjA3ZTktODEzNC00ZDhlLWExMTQtZmZkNjRhNWJhMWNkXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",13 (2),2024–,7.2,(14K),8 eps,TV Series,TV-PG
Dexter,https://www.imdb.com/title/tt0773262/?ref_=chttvm_t_14,"https://m.media-amazon.com/images/M/MV5BMTQ3YmQ4YzMtOTkyZC00YmM5LThhZjEtM2E0MjFkNTc0OGJhXkEyXkFqcGc@._V1_QL75_UY207_CR10,0,140,207_.jpg",14 (6),2006–2013,8.6,(816K),96 eps,TV Series,TV-MA
Shrinking,https://www.imdb.com/title/tt15677150/?ref_=chttvm_t_15,"https://m.media-amazon.com/images/M/MV5BYmU3Yjg0Y2UtN2E5Yy00NzYyLThlNzQtOTI2YWE2OWJhYTUyXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",15 (2),2023–,8.1,(89K),23 eps,TV Series,TV-MA
Lioness,https://www.imdb.com/title/tt13111078/?ref_=chttvm_t_16,"https://m.media-amazon.com/images/M/MV5BOWJmYTFkYTctNWI3ZS00YjhkLTkxMjUtYWM0ZTNiMzc2NTA5XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",16 (5),2023–,7.8,(63K),16 eps,TV Series,TV-MA
Blue Lock,https://www.imdb.com/title/tt15222080/?ref_=chttvm_t_17,"https://m.media-amazon.com/images/M/MV5BNWFlNmJkN2YtNGRiZS00NjExLTlmNmEtYzdiMTdiZmMzYzAwXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",17 (224),2022–,8.2,(22K),38 eps,TV Series,TV-14
Virgin River,https://www.imdb.com/title/tt9077530/?ref_=chttvm_t_18,"https://m.media-amazon.com/images/M/MV5BMWYyOTU0ZWMtMzEzOS00NWZlLTg2NzYtNTk5ZWQyZmVmOTk4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",18 (7),2019–,7.4,(55K),74 eps,TV Series,TV-14
The Agency,https://www.imdb.com/title/tt26656917/?ref_=chttvm_t_19,"https://m.media-amazon.com/images/M/MV5BMjU3YzYyNmEtZjJhMi00YjA3LTgyOTItMzQ2NTNlZTlkMjYxXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",19 (3),2024–,7.3,(6.8K),11 eps,TV Series,TV-MA
Arcane,https://www.imdb.com/title/tt11126994/?ref_=chttvm_t_20,"https://m.media-amazon.com/images/M/MV5BOWJhYjdjNWEtMWFmNC00ZjNkLThlZGEtN2NkM2U3NTVmMjZkXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg",20 (2),2021–2024,9,(366K),18 eps,TV Series,TV-14
Severance,https://www.imdb.com/title/tt11280740/?ref_=chttvm_t_21,"https://m.media-amazon.com/images/M/MV5BZDI5YzJhODQtMzQyNy00YWNmLWIxMjUtNDBjNjA5YWRjMzExXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",21 (15),2022–,8.7,(240K),19 eps,TV Series,TV-MA
From,https://www.imdb.com/title/tt9813792/?ref_=chttvm_t_22,"https://m.media-amazon.com/images/M/MV5BYzM5ZWMxOGEtZjEyMC00YjQ0LThiYjEtZjVkZGEzN2NlOGEwXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",22 (1),2022–,7.8,(126K),31 eps,TV Series,TV-MA
Outlander,https://www.imdb.com/title/tt3006802/?ref_=chttvm_t_23,"https://m.media-amazon.com/images/M/MV5BYTRiOWJlMmQtNjdkNS00MzUzLTgyZjYtNGVkZjFhOTcxZmQ5XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",23 (5),2014–,8.3,(187K),101 eps,TV Series,PG
La Palma,https://www.imdb.com/title/tt30317229/?ref_=chttvm_t_24,"https://m.media-amazon.com/images/M/MV5BZDRkMmNjZTYtOTY1Mi00YWZkLTgxYzctNWZkOTk3Nzk5YjBjXkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg",24 (11),2024,6.2,(17K),4 eps,TV Mini Series,TV-MA
Breaking Bad,https://www.imdb.com/title/tt0903747/?ref_=chttvm_t_25,"https://m.media-amazon.com/images/M/MV5BMzU5ZGYzNmQtMTdhYy00OGRiLTg0NmQtYjVjNzliZTg1ZGE4XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",25 (),2008–2013,9.5,(2.3M),62 eps,TV Series,TV-MA
Gavin & Stacey,https://www.imdb.com/title/tt0908454/?ref_=chttvm_t_26,"https://m.media-amazon.com/images/M/MV5BMTEzOGY5MTQtYjM1MC00NGQzLWFlNGQtOTAwNDI4ODQ5NjRlXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",26 (17),2007–2024,8.2,(26K),22 eps,TV Series,TV-14
Rogue Heroes,https://www.imdb.com/title/tt10405370/?ref_=chttvm_t_27,"https://m.media-amazon.com/images/M/MV5BNjE1ODk4YTEtMzI1YS00ZDU2LTk1NGYtYjBjZWM4OWQ4MWU2XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",27 (122),2022–2025,8.1,(25K),12 eps,TV Series,TV-MA
The White Lotus,https://www.imdb.com/title/tt13406094/?ref_=chttvm_t_29,"https://m.media-amazon.com/images/M/MV5BNzM4MjdjNDAtOGFjOS00OTIyLWJiODgtMWU0NmMzNmEwMGI3XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",29 (5),2021–2025,8,(229K),21 eps,TV Series,TV-MA
The Penguin,https://www.imdb.com/title/tt15435876/?ref_=chttvm_t_30,"https://m.media-amazon.com/images/M/MV5BYmU3MzYzOWEtOTdkZi00YzA1LTliMzQtNDdiZDBjY2FiNmFlXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",30 (4),2024,8.6,(161K),8 eps,TV Mini Series,TV-MA
1923,https://www.imdb.com/title/tt18335752/?ref_=chttvm_t_31,"https://m.media-amazon.com/images/M/MV5BY2ExYWFjMzYtOWQyOS00Mjc2LThlMWMtNGM0YzEyZmEyZWQxXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",31 (),2022–2025,8.3,(63K),11 eps,TV Series,TV-MA
Secret Level,https://www.imdb.com/title/tt33204697/?ref_=chttvm_t_32,"https://m.media-amazon.com/images/M/MV5BNTgyYjdkZWQtYTBlZi00NzZkLTkyZWUtMzM5M2JmZDA0MDkyXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg",32 (18),2024–,7.5,(19K),16 eps,TV Series,TV-14
Bad Sisters,https://www.imdb.com/title/tt15469618/?ref_=chttvm_t_33,"https://m.media-amazon.com/images/M/MV5BYzczZTIxNWMtNDA3Zi00MjZiLTk5ZjEtYTI0NTA3M2ZlNTI5XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",33 (6),2022–,8.3,(45K),18 eps,TV Series,TV-MA
A Man on the Inside,https://www.imdb.com/title/tt26670955/?ref_=chttvm_t_34,"https://m.media-amazon.com/images/M/MV5BYzgwOGIwZjAtZTg0OS00ZGRkLTgxMjUtMjU2NDA2Yjc4NTc1XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",34 (5),2024–,7.7,(24K),9 eps,TV Series,TV-14
Lost,https://www.imdb.com/title/tt0411008/?ref_=chttvm_t_35,"https://m.media-amazon.com/images/M/MV5BZmZhY2ViYzYtMTQ0NS00NDcyLWIxZTYtMGUyODE0NDA0NmNkXkEyXkFqcGc@._V1_QL75_UY207_CR0,0,140,207_.jpg",35 (2),2004–2010,8.3,(626K),121 eps,TV Series,TV-14
The Rookie,https://www.imdb.com/title/tt7587890/?ref_=chttvm_t_36,"https://m.media-amazon.com/images/M/MV5BMzc2MDdkZDUtZjZlYy00MGMyLWJkNzUtMTMxY2FkZjZjYmEyXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg",36 (8),2018–,8,(88K),117 eps,TV Series,TV-14
Stranger Things,https://www.imdb.com/title/tt4574334/?ref_=chttvm_t_37,"https://m.media-amazon.com/images/M/MV5BMjE2N2MyMzEtNmU5NS00OTI0LTlkNTMtMWM1YWYyNmU4NmY0XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg",37 (5),2016–2025,8.7,(1.4M),42 eps,TV Series,TV-14
Slow Horses,https://www.imdb.com/title/tt5875444/?ref_=chttvm_t_38,"https://m.media-amazon.com/images/M/MV5BOTdiZDlkYTYtMTMwOC00YzczLWI1ZGEtNWU1ZWZkMDAxNGMxXkEyXkFqcGc@._V1_QL75_UX140_CR0,21,140,207_.jpg",38 (10),2022–,8.3,(101K),37 eps,TV Series,TV-MA
American Primeval,https://www.imdb.com/title/tt24069848/?ref_=chttvm_t_39,"https://m.media-amazon.com/images/M/MV5BZDQ5ZDVkOWUtZTM2NC00MDcxLTgzY2ItNmJkOGVkMTRmZmQxXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",39 (20),2025,8.2,(5.9K),6 eps,TV Mini Series,TV-MA
Bleach: Thousand-Year Blood War,https://www.imdb.com/title/tt14986406/?ref_=chttvm_t_40,"https://m.media-amazon.com/images/M/MV5BMjgyM2QzMjAtOGZjOS00OGFkLTkxZGYtMDJjZGM5MzIzYmM3XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg",40 (13),2022–,9,(56K),41 eps,TV Series,TV-MA
The Sopranos,https://www.imdb.com/title/tt0141842/?ref_=chttvm_t_41,"https://m.media-amazon.com/images/M/MV5BMjRmMTNiMTQtMDg1ZS00MGM1LWE1MGUtYjEzMGFjNWUzOWRkXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",41 (6),1999–2007,9.2,(507K),86 eps,TV Series,TV-MA
Vera,https://www.imdb.com/title/tt1693592/?ref_=chttvm_t_42,"https://m.media-amazon.com/images/M/MV5BZjMwOWYzOWUtOWNjYS00MTNjLWJjMWYtMzZhMWY4NzlhYjc5XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",42 (151),2011–2025,8.2,(22K),56 eps,TV Series,TV-PG
Lethal Seduction,https://www.imdb.com/title/tt4113114/?ref_=chttvm_t_43,"https://m.media-amazon.com/images/M/MV5BMjI4MzA3NDA2N15BMl5BanBnXkFtZTgwODg1MTQzNzE@._V1_QL75_UY207_CR8,0,140,207_.jpg",43 (156),2015,5,(1.4K),1h 20m,TV Movie,TV-14
Creature Commandos,https://www.imdb.com/title/tt26545355/?ref_=chttvm_t_44,"https://m.media-amazon.com/images/M/MV5BODVmMmM0MzUtODlhMC00Y2QwLWI0MTktZmNmY2JjYjM0OTI4XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",44 (7),2024–,7.9,(10K),8 eps,TV Series,TV-MA
True Detective,https://www.imdb.com/title/tt2356777/?ref_=chttvm_t_45,"https://m.media-amazon.com/images/M/MV5BYjgwYzA1NWMtNDYyZi00ZGQyLWI5NTktMDYwZjE2OTIwZWEwXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg",45 (7),2014–,8.9,(685K),31 eps,TV Series,TV-MA
One Hundred Years of Solitude,https://www.imdb.com/title/tt9892936/?ref_=chttvm_t_46,"https://m.media-amazon.com/images/M/MV5BMjFjNTdiMmQtZjQ5Yi00MWMzLWJjMWMtNmI1ZTgzYmE5NjNiXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",46 (22),2024–,8.5,(10K),8 eps,TV Series,TV-MA
The Walking Dead,https://www.imdb.com/title/tt1520211/?ref_=chttvm_t_47,"https://m.media-amazon.com/images/M/MV5BYWQwMGRhNGEtZTNhMy00MzVjLWJhMjItYjcwMDljMTkyNTg2XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",47 (1),2010–2022,8.1,(1.1M),177 eps,TV Series,TV-MA
Supernatural,https://www.imdb.com/title/tt0460681/?ref_=chttvm_t_48,"https://m.media-amazon.com/images/M/MV5BMDFmMGZmMGItNGRjNC00NjVjLWI5ODEtNzhjMTE5MmJhN2FkXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg",48 (1),2005–2020,8.4,(502K),327 eps,TV Series,TV-14
Ted Lasso,https://www.imdb.com/title/tt10986410/?ref_=chttvm_t_49,"https://m.media-amazon.com/images/M/MV5BZmI3YWVhM2UtNDZjMC00YTIzLWI2NGUtZWIxODZkZjVmYTg1XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",49 (7),2020–,8.8,(382K),35 eps,TV Series,TV-MA
Law & Order: Special Victims Unit,https://www.imdb.com/title/tt0203259/?ref_=chttvm_t_50,"https://m.media-amazon.com/images/M/MV5BZmI0MDdiZGQtNGZlOC00NGE1LTg3MDItOGZkMGVjZDM3NGE0XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",50 (14),1999–,8.1,(133K),562 eps,TV Series,TV-14
